,NO.,성우,연령,성별,상황키워드,감정_대분류,감정_소분류,사람문장1
12,F_000013,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",우리 집이 가난하다면서 친구들이 나를 따돌렸어.
13,F_000014,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",친구들은 학교 끝나고 놀러 갈 일이 있으면 나를 끼워주지 않아.
14,F_000015,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",날 따돌리는 친구가 내가 돈이 없어서 수학여행에 가지 못하는 것을 소문 냈어.
15,F_000016,LSW,청소년,여성,학교폭력/따돌림,상처,"가난한, 불우한",학교지원으로 급식을 무료로 먹는다고 나를 보며 수군거려.
16,F_000017,LSW,청소년,여성,학업 및 진로,상처,"가난한, 불우한",다니고 싶은 학원이 있는데 엄마가 보내주지 못해서 미안하다고 하셨어. 죄송하기도 하고 가난하다는 사실에 마음이 아파.
17,F_000018,LSW,청소년,여성,가족관계,상처,"가난한, 불우한",어렸을 때부터 먹고 싶은 걸 부모님이 많이 사주지 못하셨어. 불우하다는 사실이 나를 우울하게 해.
18,F_000019,LSW,청소년,여성,학업 및 진로,상처,"가난한, 불우한",빚을 내서 대학에 가는 것보단 부모님을 도와 일을 하는 게 나을 걸 알면서도 마음이 힘들어.
19,F_000020,LSW,청소년,여성,가족관계,상처,"가난한, 불우한",친구들이 왜 나만 우유를 받는지 묻더라. 이럴 때마다 머리가 새하얘지고 가난한 우리 집이 너무 싫어져.
20,F_000021,LSW,청소년,여성,가족관계,상처,"가난한, 불우한",엄마 아빠가 아무리 열심히 일을 하더라도 우리 집은 계속 가난할 것 같아 너무 우울해.
21,F_000022,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",화려한 결혼식은 바라지도 않는데 식장 예약도 못 하는 우리 형편에 마음이 너무 아파.
22,F_000023,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",아기가 곧 태어나는데 양육을 위해 필요한 물품을 마련할 능력이 안 되는 내가 너무 한심해.
23,F_000024,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",마음만은 정말 사랑하는데 재정적인 능력이 없어서 결혼식을 못 하게 됐어.
24,F_000025,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",내가 돈이 없는 게 너무 억울하고 슬퍼.
25,F_000026,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",어제 그에게 내 어려운 형편을 솔직하게 말했어. 그가 어떻게 반응할지 걱정돼.
26,F_000027,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",우리 아이를 위해서라면 무엇이든 해주고 싶지만 돈이 없어 해주지 못하는 나 자신이 미워.
27,F_000028,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",내가 지금까지 그 사람과 함께해오면서 못 해준 게 너무 많아서 미안해.
28,F_000029,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",돈이 없어서 우리 아기를 행복하게 해주지 못한 것이 우리의 유일한 잘못일 거야.
29,F_000030,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",이 지긋지긋한 가난함에서 벗어나고 싶어.
30,F_000031,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",우리가 부유하기라도 하면 사람들이 우리의 사랑을 인정해 줄 것 같아.
31,F_000032,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",우리 커플은 항상 최소한의 비용으로 데이트를 하려고 애써.
32,F_000033,LSW,청년,여성,"연애,결혼,출산",상처,"가난한, 불우한",돈이라도 많다면 우리를 사람들이 이렇게까지 부정적으로 바라보지는 않을 것 같아.
33,F_000034,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",왕복 세 시간 거리를 출퇴근을 하니까 너무 힘들고 피곤해.
34,F_000035,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",도전하고 싶은 자격증이 있었는데 집에 경제적인 상황이 좋지 않아서 공부를 못했어.
35,F_000036,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",대학원에 다니고 싶은데 집에서는 이제 내 학비를 감당할 수 없다고 해서 슬펐어.
36,F_000037,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",면접을 가야하는데 교통비가 부족해서 친구가 빌려줬는데 창피했어.
37,F_000038,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",몇 년 동안 유학을 준비했는데 아빠 사업이 망해서 못 가게 된 게 너무 슬퍼.
38,F_000039,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",사회생활도 시작하기 전에 학자금 대출 빚으로 갚아야 할 돈이 생기니까 부담스러워.
39,F_000040,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",공무원 시험일 일순위인데 아르바이트까지 하려니 힘들고 지쳐.
40,F_000041,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",취업을 하기 위해서 학원을 다니고 싶은데 학원비를 먼저 마련해야 하니까 학원을 못 다녀서 조급해.
41,F_000042,LSW,청년,여성,"진로,취업,직장",상처,"가난한, 불우한",가족의 생활비를 내 월급으로 충당하다보니 퇴사를 못하고 다니기 싫은 회사를 계속 다니고 있어.
42,F_000043,LSW,중년,여성,건강,상처,"가난한, 불우한",큰 병에 걸렸는데 병원비가 감당이 안 돼.
43,F_000044,LSW,중년,여성,건강,상처,"가난한, 불우한",시간이 흘러도 불우했던 어린 시절의 기억이 계속 떠올라서 나를 괴롭혀.
44,F_000045,LSW,중년,여성,건강,상처,"가난한, 불우한",예뻐지는 것도 건강해야지 예뻐지나 봐. 예전의 건강했던 내 모습으로 돌아가고 싶어.
45,F_000046,LSW,중년,여성,건강,상처,"가난한, 불우한",이가 아파서 치과에 가야하는데 돈때문에 걱정이야. 치료비가 많이 나올것 같아.
46,F_000047,LSW,중년,여성,건강,상처,"가난한, 불우한",요즘 건강한 삶을 위해 새로운 도전을 해보려 하는데 돈이 없어서 헬스클럽에 등록할 수가 없네.
47,F_000048,LSW,중년,여성,건강,상처,"가난한, 불우한",내가 겪어온 세월은 말로 다 할 수가 없네.
48,F_000049,LSW,중년,여성,건강,상처,"가난한, 불우한",갱년기에 들어섰는지 여기저기 안 아픈 곳이 없네. 너무 속상해.
49,F_000050,LSW,중년,여성,건강,상처,"가난한, 불우한",건강검진에서 갑상샘암이 발견되었어. 조기에 치료하면 된다고 하지만 돈이 충분하지 않아서 걱정이야.
50,F_000051,LSW,중년,여성,건강,상처,"가난한, 불우한",오십 대가 되면서 여기저기 아파서 괴로워.
51,F_000052,LSW,중년,여성,건강,상처,"가난한, 불우한",나는 운이 없나 봐.
52,F_000053,LSW,중년,여성,건강,상처,"가난한, 불우한",아들의 약값이 많이 나가서 너무 부담돼.
53,F_000054,LSW,중년,여성,건강,상처,"가난한, 불우한",암 선고를 의사로부터 받았어.
54,F_000055,LSW,중년,여성,건강,상처,"가난한, 불우한",친구들은 보험 가입을 해서 안심이 된다고 하는데 나는 필요한 보험을 못 들었어.
55,F_000056,LSW,중년,여성,건강,상처,"가난한, 불우한",나 때문에 고생한 우리 부모님을 호강시켜 드릴 거야.
56,F_000057,LSW,중년,여성,건강,상처,"가난한, 불우한",내가 간암 판정을 받았어. 이 사실을 두 딸에게 말하고 싶지 않아.
57,F_000058,LSW,중년,여성,건강,상처,"가난한, 불우한",자식들 교육시키기 위해 온갖 고생을 하신 어머니가 유방암에 걸리셨어.
58,F_000059,LSW,중년,여성,건강,상처,"가난한, 불우한",아들과 둘이 살고 있는데 아들이 학교에 갔다가 집에 오면 아픈 나를 돌봐줘.
59,F_000060,LSW,중년,여성,건강,상처,"가난한, 불우한",남편이 나를 때려서 갈비뼈에 금이 갔어.
60,F_000061,LSW,중년,여성,건강,상처,"가난한, 불우한",건강이 걱정이야.
61,F_000062,LSW,중년,여성,건강,상처,"가난한, 불우한",나 때문에 고생한 우리 부모님을 호강시켜 드릴 거야.
62,F_000063,LSW,중년,여성,건강,상처,"가난한, 불우한",내가 간암 판정을 받았어. 이 사실을 두 딸에게 말하고 싶지 않아.
63,F_000064,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",병원에서 입원비를 내지 못하면 더 치료해주지 않을 거래.
64,F_000065,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",돈이 좀 넉넉하면 좋겠는데 이럴 땐 돈이 없어서 속상하다.
65,F_000066,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",슬프고 우울한 기분이 드네.
66,F_000067,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",유니세프에 매달 후원금을 내기로 했어. 좋은 일에 쓸 거라니 적은 금액이라도 기부하는 일이 보람있게 느껴져.
67,F_000068,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",가난한 사람은 병 걸리면 죽어야겠네.
68,F_000069,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",평생을 열심히 일했는데 병원비가 없어 치료를 못받는다니 너무 허망해.
69,F_000070,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",가난한데 건강이 나빠지면 병원비까지 들까봐 걱정이야.
70,F_000071,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",난 왜 이리 아픈 곳이 많을까.
71,F_000072,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",내가 암에 걸렸는데 병원비가 많이 드나봐.
72,F_000073,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",아니 요즘 같은 시대에 돈이 없어서 치료를 못받는다는 게 믿겨져?
73,F_000074,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",마음이 아프네.
74,F_000075,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",노년이 다가오니 죽음이 무서워.
75,F_000076,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",병원에서 입원비를 내지 못하면 더 치료를 해주지 않을 거래.
76,F_000077,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",아파서 마땅히 일할 곳이 없어 속상해.
77,F_000078,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",당뇨가 집안 내력인지 건강했던 아들도 당뇨에 걸리서 속상해.
78,F_000079,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",혈압 약을 살 돈이 없어서 고혈압이 점점 심해져.
79,F_000080,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",아파서 입원한 지 한 달인데 이제 돈이 없어 퇴원해야 해.
80,F_000081,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",비 오는 날에도 폐지를 줍다가 폐결핵이 재발했어.
81,F_000082,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",신장 이식에 너무 큰돈이 들어 투석으로만 버티고 있어.
82,F_000083,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",가난했지만 자식들을 위해 최선을 다했는데 자식들은 늙은 나를 돌보지 않아. 너무 슬퍼.
83,F_000084,LSW,노년,여성,"건강, 죽음",상처,"가난한, 불우한",이제라도 내 인생을 즐기고 싶은데 돈이 없어서 너무 슬퍼.
84,F_000085,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,선생님께서 매일 나를 괴롭히던 친구를 제대로 혼내주셨어.
85,F_000086,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,오늘 아주 좋은 일이 있었어. 내 친구 민수 덕분에 왕따가 해결됐거든.
86,F_000087,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,엄마가 학교에 찾아와서 내가 당한 폭행에 대해 선생님과 상담하고 학폭위를 열어서 해결할 수 있도록 힘써 주셨어.
87,F_000088,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,날 못살게 굴던 친구들한테 선배가 얘기해서 다 해결됐지 뭐야.
88,F_000089,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,우와. 선생님 짱이야. 선생님하고 상담했더니 그동안 애들로부터 당했던 어려움을 다 해결해주셨지 뭐야.
89,F_000090,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,야호. 이젠 맘 놓고 학교 갈 수 있겠어. 선생님이 돈 뜯어가던 애들을 혼내주셨거든.
90,F_000091,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,내 친구 미나 있잖아. 그 애가 도와줘서 날 괴롭히던 애들이 더 이상 못살게 굴지 않게 됐지 뭐야.
91,F_000092,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,내가 여진이랑 힘들어서 엄마한테 고민을 털어놨더니 먼저 얘기를 해보는 게 어떠냐고 권해주셨어.
92,F_000093,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,우리 반에서 지속적으로 한 아이를 두고 폭력이 일어났었는데 선생님이 훈계를 잘해줘서 근절되었어.
93,F_000094,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,얼마 전에 지수라고 전학 온 애가 있거든? 걔가 내 친구들과 오해를 풀어줘서 화해하게 되었어.
94,F_000095,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,오늘 학교로 찾아오신 부모님 덕분에 친구들이 더 이상 나를 괴롭히지 않을 거야.
95,F_000096,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,아빠의 관심 덕분에 왕따 당하는 것으로 괴로워하던 내가 이제는 친구를 사귈 용기를 얻게 되었어.
96,F_000097,LSW,청소년,여성,가족관계,기쁨,감사하는,어버이날에 부모님께 선물을 고민하다가 감사의 뜻을 담은 손 편지를 써서 드렸어.
97,F_000098,LSW,청소년,여성,가족관계,기쁨,감사하는,언니가 배달 음식을 시켰는데 말하지 않았는데도 내가 먹고 싶은 메뉴를 시켜줬어.
98,F_000099,LSW,청소년,여성,가족관계,기쁨,감사하는,신문을 보니 다른 집은 많이 다투나본데 우리 집은 사이좋고 화목해서 참 좋아.
99,F_000100,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,선생님이 나의 고민을 아시고 나를 부르셨어.
100,F_000101,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,내 학교폭력 문제에 대해 선생님이 적극적으로 나셔주시니 든든해.
101,F_000102,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,따돌림으로 우울했는데 부모님께서 위로해주셨어.
102,F_000103,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,학교폭력으로 힘든 나를 친구가 위로해주었어.
103,F_000104,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,가해자들이 우리 반으로 찾아와서 친구들이 나를 지켜주었어.
104,F_000105,LSW,청소년,여성,학교폭력/따돌림,기쁨,감사하는,내 폭행을 목격한 친구가 무서움에도 학폭위에서 증언을 해주었어.
105,F_000106,LSW,청년,여성,대인관계,기쁨,감사하는,팀장님이 평상시에 내 업무능력을 좋게 봐주셔서 이번에 승진하게 되었어. 너무 감사하고 기뻐.
106,F_000107,LSW,청년,여성,대인관계,기쁨,감사하는,졸업 작품 완성도 때문에 고민이었는데 교수님이 도와주셔서 마무리가 잘 된 것 같아. 기쁘고 감사해.
107,F_000108,LSW,청년,여성,대인관계,기쁨,감사하는,공무원 시험공부를 길게 했는데 이번에 드디어 합격했어. 너무 기쁘고 행복해.
108,F_000109,LSW,청년,여성,대인관계,기쁨,감사하는,어제 생일이었는데 친구들이 회사 앞에 와서 깜짝 축하 파티를 해줬어. 너무 기뻐.
109,F_000110,LSW,청년,여성,대인관계,기쁨,감사하는,회사의 매출이 크게 올라서 사장님께서 전 직원에게 보너스를 주셔서 기뻐.
110,F_000111,LSW,청년,여성,대인관계,기쁨,감사하는,매년 여름 방학 때마다 가족끼리 해외여행을 다녀올 수 있어서 좋아.
111,F_000112,LSW,청년,여성,대인관계,기쁨,감사하는,과제 발표를 열심히 준비했는데 교수님께서 칭찬을 받아 기뻐.
112,F_000113,LSW,청년,여성,대인관계,기쁨,감사하는,룸메이트 덕분에 아르바이트를 쉽게 구할 수 있게 되어서 기뻐.
113,F_000114,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,아기가 건강하게 태어날 수 있도록 나를 잘 보살펴준 남편에게 너무 고마워.
114,F_000115,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,시집갈 때까지 잘 키워주신 부모님께 감사해.
115,F_000116,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,남자친구가 내가 걷기 힘들어하는 걸 보고 업어주었어.
116,F_000117,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,아기가 태어난 걸 축하해주신 모든 분께 감사 인사를 드리고 싶어.
117,F_000118,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,출산 후 남편이 수고했다며 병실에서 이벤트를 열어주어서 너무 기뻐.
118,F_000119,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,나의 절친한 친구가 축의금을 엄청 많이 내주어서 기뻐.
119,F_000120,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,내 남자 친구가 사소한 일에도 고맙다며 인사를 해줘서 너무 고마워.
120,F_000121,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,부모님이 남자 친구와의 결혼에 물질적으로 많은 도움을 주셔서 너무 감사해.
121,F_000122,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,남자 친구의 부모님께서 좋은 신혼집을 마련해 주셔서 기뻐.
122,F_000123,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,결혼 전 어머니가 안 계시는 나에게 시어머니께서 엄마처럼 생각해달라고 하셔서 감사해.
123,F_000124,LSW,청년,여성,"연애,결혼,출산",기쁨,감사하는,일이 바쁜 나를 대신해 엄마가 꼼꼼히 혼수를 골라주어서 감사해.
124,F_000125,LSW,청년,여성,"진로,취업,직장",기쁨,감사하는,내 취업을 위해서 뒷바라지 해주시는 부모님을 생각하면 항상 눈물이 나.
125,F_000126,LSW,청년,여성,"진로,취업,직장",기쁨,감사하는,오래 준비한 회사에 최종합격했어. 부모님이 많이 좋아하시겠지?
126,F_000127,LSW,중년,여성,건강,기쁨,감사하는,오랜만에 친구를 만났는데 마음고생이 대단해. 안쓰러워 죽겠어.
127,F_000128,LSW,중년,여성,건강,기쁨,감사하는,어제 건강 검진 했는데 아주 깨끗하대.
128,F_000129,LSW,중년,여성,건강,기쁨,감사하는,다들 이 나이에 어느 한 곳이 아프다는데 나는 아직 아무렇지도 않으니 감사하지.
129,F_000130,LSW,중년,여성,건강,기쁨,감사하는,평소에 건강관리에 신경 못 썼는데 건강검진 결과에서 이상이 없어서 정말 감사해.
130,F_000131,LSW,중년,여성,건강,기쁨,감사하는,나 골밀도 수치가 높아졌대.
131,F_000132,LSW,중년,여성,건강,기쁨,감사하는,오늘 건강검진 결과가 나왔는데 걱정했던 것과 달리 큰 병이 없어서 다행이야. 너무 기쁘고 감사해.
132,F_000133,LSW,중년,여성,건강,기쁨,감사하는,이번에 건강검진 결과가 나왔는데 아주 좋아.
133,F_000134,LSW,중년,여성,건강,기쁨,감사하는,주위에서 나를 사십대로 보지 않고 삼십대로 봐주니 고마웠어.
134,F_000135,LSW,중년,여성,건강,기쁨,감사하는,지금 직장에서의 교사들은 대화가 잘통해.
135,F_000136,LSW,중년,여성,건강,기쁨,감사하는,이 나이에 직장이 있다는 게 너무 감사해.
136,F_000137,LSW,중년,여성,건강,기쁨,감사하는,정말 감사한 일이야.
137,F_000138,LSW,중년,여성,건강,기쁨,감사하는,나 종합 건강 검진을 받았어. 결과가 좋더라고.
138,F_000139,LSW,중년,여성,건강,기쁨,감사하는,이번 건강 검진 결과가 좋게 나왔어.
139,F_000140,LSW,중년,여성,건강,기쁨,감사하는,내게 골수를 이식해 줄 수 있는 기증자가 나타나서 너무 기뻐.
140,F_000141,LSW,중년,여성,건강,기쁨,감사하는,항암치료가 오늘로 다 끝났어. 힘들었지만 내 곁을 지켜준 가족들 덕분이라 감사해.
141,F_000142,LSW,중년,여성,건강,기쁨,감사하는,드디어 항암치료가 끝났어. 오지 않을 것만 같은 날이었는데 감격스러워.
142,F_000143,LSW,중년,여성,건강,기쁨,감사하는,드디어 퇴원이라니! 남편이 나를 얼마나 지극정성으로 돌봐주던지 감동받았어.
143,F_000144,LSW,중년,여성,건강,기쁨,감사하는,딸이 보낸 영양제 덕분에 훨씬 건강해진 느낌이야!
144,F_000145,LSW,중년,여성,건강,기쁨,감사하는,우울증 때문에 힘들었는데 아들이 자주 연락해준 덕분에 극복할 수 있었어.
145,F_000146,LSW,중년,여성,건강,기쁨,감사하는,요즘 며칠 동안 몸이 안 좋았어. 늙으니까 몸 여기저기가 아프지만 그래도 기분은 무척 좋아.
146,F_000147,LSW,중년,여성,건강,기쁨,감사하는,내가 병이 완치되어서 더 이상 가족들이 나 때문에 고생하지 않게 되어서 기뻐.
147,F_000148,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,나는 늙어가며 좋은 점 중의 하나가 감사할 일이 많아졌다는 거야.
148,F_000149,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,최근 코로나 사태를 겪으며 주변을 많이 돌아보게  되었어. 당연히 누리던 환경과 생활들에 대해서 말이야.
149,F_000150,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,수술결과가 좋대.
150,F_000151,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,건강할 수 있어서 감사해.
151,F_000152,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,병원갔더니 약을 좀 줄여도 되겠다하네.
152,F_000153,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,지금까지 큰 병없이 건강하게 잘 살아온 것이 얼마나 감사한지 모르겠어.
153,F_000154,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,이제 나도 나이가 들어서 그런지 여기저기 몸이 많이 고장났어.
154,F_000155,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,그저께 정기검진을 받고 왔는데 다행히 갑상선 종양 크기가 더 커지지 않고 그대로라고 하네. 정말 다행이야.
155,F_000156,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,오랫동안 못 만났던 친구들이 다들 건강히 잘 살고 있어 감사해.
156,F_000157,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,중증실환에 걸려도 긍정적으로 생각하면 도움이 될거야.
157,F_000158,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,남편이 당뇨병 관리에 많은 도움을 주었어.
158,F_000159,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,노인정 사람들이 관절 안 좋다고 의료기기를 선물해주었어.
159,F_000160,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,손자가 나한테 허리가 괜찮냐며 안부전화를 주었어.
160,F_000161,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,옛 제자들이 나 아프다고 병문안 왔어.
161,F_000162,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,남편이 천식에 좋은 차를 매일 타주고 있어.
162,F_000163,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,며느리가 자기 전에 항상 관절염에 좋은 온찜질을 해줘.
163,F_000164,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,내가 발작이 일어났을 때 옆 집 김 씨가 구급차를 불러서 같이 병원에 와주었어.
164,F_000165,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,남편 직장동료들이 남편 장례식에 많이 와주고 부조도 많이 해줬어.
165,F_000166,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,내가 아프니까 딸이 바로 달려와서 간호해줘서 너무 기뻐.
166,F_000167,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,간호사가 챙겨줄 사람이 없는 나를 챙겨줘서 너무 감사해.
167,F_000168,LSW,노년,여성,"건강, 죽음",기쁨,감사하는,직장에서 내 기관지염을 알고 공기청정기를 구비해주셔서 너무 기뻐.
168,F_000169,LSW,노년,여성,가족관계,기쁨,감사하는,너무 행복해. 언니가 식재료를 또 보내줬어.
169,F_000170,LSW,노년,여성,가족관계,기쁨,감사하는,동생이 또 돈을 보내줬어. 참 좋은 동생을 둔 것 같아서 감사한 마음이야.
170,F_000171,LSW,청소년,여성,학업 및 진로,불안,걱정스러운,친구에게 전화가 왔었는데 지금은 다시 전화를 걸 상황이 아니야.
171,F_000172,LSW,청소년,여성,학업 및 진로,불안,걱정스러운,부모님 일을 도와드리다가 공부도 못 하고 밤이 되었어.
172,F_000173,LSW,청소년,여성,학업 및 진로,불안,걱정스러운,우리 반에 내가 좋아하는 남자애가 생겼는데 인기가 너무 많아.
173,F_000174,LSW,청소년,여성,가족관계,불안,걱정스러운,오빠는 일이 없나 봐. 항상 혼자 방에 틀어박혀 있어. 그런 오빠가 좀 걱정돼.
174,F_000175,LSW,청소년,여성,가족관계,불안,걱정스러운,요리도 안 해본 동생이 만두를 굽고 있는데 사고 날까 봐 조마조마해. 걱정돼.
175,F_000176,LSW,청소년,여성,가족관계,불안,걱정스러운,집에 빨리 안 가면 엄마가 화낼 텐데 버스가 너무 안 와.
176,F_000177,LSW,청소년,여성,가족관계,불안,걱정스러운,아빠가 성적을 물어볼까봐 생각만 해도 애가 타.
177,F_000178,LSW,청소년,여성,가족관계,불안,걱정스러운,엄마가 참고서 사라고 돈으로 옷을 샀는데 엄마가 참고서를 가져 오라셔. 어떡하지?
178,F_000179,LSW,청소년,여성,가족관계,불안,걱정스러운,동생을 데리러 나갔는데 길이 엇갈린 것 같아. 안 보이네.
179,F_000180,LSW,청소년,여성,가족관계,불안,걱정스러운,내가 실수로 오빠가 아끼는 헤드셋을 망가뜨렸어. 나한테 화내겠지?
180,F_000181,LSW,청소년,여성,가족관계,불안,걱정스러운,아빠가 다쳐서 엄마가 일을 하셔야 한대. 엄마가 많이 걱정돼.
